2025-01-13 20:37:57,549 - INFO - [Increment Mode] START CRAWLING DATA FROM DANGDANG!
2025-01-13 20:38:00,334 - INFO - [Increment Mode] 检测到已登录, 开始采集数据
2025-01-13 20:38:00,391 - INFO - [Increment Mode] 第1页第1条数据已存在,跳过!
2025-01-13 20:38:00,391 - INFO - [Increment Mode] 第1页第2条数据已存在,跳过!
2025-01-13 20:38:00,392 - INFO - [Increment Mode] 第1页第3条数据已存在,跳过!
2025-01-13 20:38:00,392 - INFO - [Increment Mode] 第1页第4条数据已存在,跳过!
2025-01-13 20:38:00,392 - INFO - [Increment Mode] 第1页第5条数据已存在,跳过!
2025-01-13 20:38:00,393 - INFO - [Increment Mode] 第1页第6条数据已存在,跳过!
2025-01-13 20:38:00,393 - INFO - [Increment Mode] 第1页第7条数据已存在,跳过!
2025-01-13 20:38:00,393 - INFO - [Increment Mode] 第1页第8条数据已存在,跳过!
2025-01-13 20:38:00,394 - INFO - [Increment Mode] 第1页第9条数据已存在,跳过!
2025-01-13 20:38:00,394 - INFO - [Increment Mode] 第1页第10条数据已存在,跳过!
2025-01-13 20:38:00,394 - INFO - [Increment Mode] 第1页第11条数据已存在,跳过!
2025-01-13 20:38:00,395 - INFO - [Increment Mode] 第1页第12条数据已存在,跳过!
2025-01-13 20:38:00,395 - INFO - [Increment Mode] 第1页第13条数据已存在,跳过!
2025-01-13 20:38:00,395 - INFO - [Increment Mode] 第1页第14条数据已存在,跳过!
2025-01-13 20:38:00,396 - INFO - [Increment Mode] 第1页第15条数据已存在,跳过!
2025-01-13 20:38:00,396 - INFO - [Increment Mode] 第1页第16条数据已存在,跳过!
2025-01-13 20:38:00,397 - INFO - [Increment Mode] 第1页第17条数据已存在,跳过!
2025-01-13 20:38:00,397 - INFO - [Increment Mode] 第1页第18条数据已存在,跳过!
2025-01-13 20:38:00,397 - INFO - [Increment Mode] 第1页第19条数据已存在,跳过!
2025-01-13 20:38:00,398 - INFO - [Increment Mode] 第1页第20条数据已存在,跳过!
2025-01-13 20:38:00,398 - INFO - [Increment Mode] 第1页第21条数据已存在,跳过!
2025-01-13 20:38:00,398 - INFO - [Increment Mode] 第1页第22条数据已存在,跳过!
2025-01-13 20:38:00,398 - INFO - [Increment Mode] 第1页第23条数据已存在,跳过!
